Sr.no,State,Year,Quater,Catogery,Count,Amount
0,andaman-_-nicobar-islands,2018,1,0,4200,1845307.467
1,andaman-_-nicobar-islands,2018,1,1,1871,12138655.3
2,andaman-_-nicobar-islands,2018,1,2,298,452507.1686
3,andaman-_-nicobar-islands,2018,1,3,33,10601.41993
4,andaman-_-nicobar-islands,2018,1,4,256,184689.8663
5,andaman-_-nicobar-islands,2018,2,0,6735,2320944.731
6,andaman-_-nicobar-islands,2018,2,1,3575,24511925.23
7,andaman-_-nicobar-islands,2018,2,2,603,1024491.013
8,andaman-_-nicobar-islands,2018,2,3,59,121336.0271
9,andaman-_-nicobar-islands,2018,2,4,368,359838.5054
10,andaman-_-nicobar-islands,2018,3,0,8636,4343504.868
11,andaman-_-nicobar-islands,2018,3,1,6448,49270781.54
12,andaman-_-nicobar-islands,2018,3,2,945,1627359.839
13,andaman-_-nicobar-islands,2018,3,3,42,1481.490704
14,andaman-_-nicobar-islands,2018,3,4,194,314343.3941
15,andaman-_-nicobar-islands,2018,4,0,11517,5450549.512
16,andaman-_-nicobar-islands,2018,4,1,10451,81001456.98
17,andaman-_-nicobar-islands,2018,4,2,1421,3552027.735
18,andaman-_-nicobar-islands,2018,4,3,29,76035.78774
19,andaman-_-nicobar-islands,2018,4,4,340,468266.0607
20,andaman-_-nicobar-islands,2019,1,0,15263,6611459.873
21,andaman-_-nicobar-islands,2019,1,1,13119,91808345.87
22,andaman-_-nicobar-islands,2019,1,2,1759,3266589.847
23,andaman-_-nicobar-islands,2019,1,3,62,116250.4367
24,andaman-_-nicobar-islands,2019,1,4,283,497094.6484
25,andaman-_-nicobar-islands,2019,2,0,14676,7242448.256
26,andaman-_-nicobar-islands,2019,2,1,14481,107525358.7
27,andaman-_-nicobar-islands,2019,2,2,4031,4702152.617
28,andaman-_-nicobar-islands,2019,2,3,124,113278.9137
29,andaman-_-nicobar-islands,2019,2,4,377,671471.2226
30,andaman-_-nicobar-islands,2019,3,0,16219,8171737.706
31,andaman-_-nicobar-islands,2019,3,1,13767,101079821.1
32,andaman-_-nicobar-islands,2019,3,2,3519,4428734.575
33,andaman-_-nicobar-islands,2019,3,3,50,158857.9432
34,andaman-_-nicobar-islands,2019,3,4,215,232624.7599
35,andaman-_-nicobar-islands,2019,4,0,18128,121493224.3
36,andaman-_-nicobar-islands,2019,4,1,13851,9538690.916
37,andaman-_-nicobar-islands,2019,4,2,2920,5247500.488
38,andaman-_-nicobar-islands,2019,4,3,60,295937.2111
39,andaman-_-nicobar-islands,2019,4,4,200,263177.5944
40,andaman-_-nicobar-islands,2020,1,0,18324,142332401.8
41,andaman-_-nicobar-islands,2020,1,1,18268,10850414.02
42,andaman-_-nicobar-islands,2020,1,2,4424,7752871.558
43,andaman-_-nicobar-islands,2020,1,3,66,208231.7307
44,andaman-_-nicobar-islands,2020,1,4,216,332393.192
45,andaman-_-nicobar-islands,2020,2,0,38125,17659622.73
46,andaman-_-nicobar-islands,2020,2,1,20303,141728757.7
47,andaman-_-nicobar-islands,2020,2,2,4004,9236375.74
48,andaman-_-nicobar-islands,2020,2,3,175,706932.1397
49,andaman-_-nicobar-islands,2020,2,4,355,313313.0646
50,andaman-_-nicobar-islands,2020,3,0,59310,24756220.88
51,andaman-_-nicobar-islands,2020,3,1,40697,289078946.7
52,andaman-_-nicobar-islands,2020,3,2,16096,22682992.24
53,andaman-_-nicobar-islands,2020,3,3,572,961836.713
54,andaman-_-nicobar-islands,2020,3,4,808,539449.7722
55,andaman-_-nicobar-islands,2020,4,0,81439,533316526.2
56,andaman-_-nicobar-islands,2020,4,1,80811,33710030.53
57,andaman-_-nicobar-islands,2020,4,2,59391,56867468.94
58,andaman-_-nicobar-islands,2020,4,3,965,1880546.967
59,andaman-_-nicobar-islands,2020,4,4,1925,1508083.692
60,andaman-_-nicobar-islands,2021,1,0,105458,665391395.7
61,andaman-_-nicobar-islands,2021,1,1,84119,37160922.87
62,andaman-_-nicobar-islands,2021,1,2,53090,78606979.06
63,andaman-_-nicobar-islands,2021,1,3,884,1469351.085
64,andaman-_-nicobar-islands,2021,1,4,1201,1077918.666
65,andaman-_-nicobar-islands,2021,2,0,132772,748382044.8
66,andaman-_-nicobar-islands,2021,2,1,120911,43691961.26
67,andaman-_-nicobar-islands,2021,2,2,85143,103707408.5
68,andaman-_-nicobar-islands,2021,2,3,960,2038521.514
69,andaman-_-nicobar-islands,2021,2,4,1628,1327080.056
70,andaman-_-nicobar-islands,2021,3,0,192321,1077787837
71,andaman-_-nicobar-islands,2021,3,1,136010,51243450.86
72,andaman-_-nicobar-islands,2021,3,2,118340,176991328.2
73,andaman-_-nicobar-islands,2021,3,3,990,2351013.442
74,andaman-_-nicobar-islands,2021,3,4,2103,1650766.127
75,andaman-_-nicobar-islands,2021,4,0,285778,1544932663
76,andaman-_-nicobar-islands,2021,4,1,210164,322842314.6
77,andaman-_-nicobar-islands,2021,4,2,135608,59243518.11
78,andaman-_-nicobar-islands,2021,4,3,1718,3137965.167
79,andaman-_-nicobar-islands,2021,4,4,2855,2453640.143
80,andhra-pradesh,2018,1,0,5027448,892293975.7
81,andhra-pradesh,2018,1,1,3049646,10524250283
82,andhra-pradesh,2018,1,2,362672,247297640.2
83,andhra-pradesh,2018,1,3,204305,44808449.76
84,andhra-pradesh,2018,1,4,395514,287626043
85,andhra-pradesh,2018,2,0,6456387,1598591488
86,andhra-pradesh,2018,2,1,4745000,20451493099
87,andhra-pradesh,2018,2,2,604847,436785223.9
88,andhra-pradesh,2018,2,3,225621,68952114.81
89,andhra-pradesh,2018,2,4,322063,328092346.6
90,andhra-pradesh,2018,3,0,16129591,32738630445
91,andhra-pradesh,2018,3,1,7542005,1949098147
92,andhra-pradesh,2018,3,2,1225416,685277254.5
93,andhra-pradesh,2018,3,3,380324,60790077.57
94,andhra-pradesh,2018,3,4,348725,284248675.6
95,andhra-pradesh,2018,4,0,17580086,47011639726
96,andhra-pradesh,2018,4,1,9767083,2418164314
97,andhra-pradesh,2018,4,2,2622131,1671585889
98,andhra-pradesh,2018,4,3,400837,57178116.4
99,andhra-pradesh,2018,4,4,389411,315211361.3
100,andhra-pradesh,2019,1,0,37420988,77524329742
101,andhra-pradesh,2019,1,1,14022264,3480641602
102,andhra-pradesh,2019,1,2,5043682,2423536770
103,andhra-pradesh,2019,1,3,416325,47150177.53
104,andhra-pradesh,2019,1,4,361263,284937624.5
105,andhra-pradesh,2019,2,0,32494402,1.04E+11
106,andhra-pradesh,2019,2,1,14093964,4708345388
107,andhra-pradesh,2019,2,2,9226537,4613405203
108,andhra-pradesh,2019,2,3,145310,26626696.77
109,andhra-pradesh,2019,2,4,448802,361492238.4
110,andhra-pradesh,2019,3,0,39023491,1.24E+11
111,andhra-pradesh,2019,3,1,20147629,6893984677
112,andhra-pradesh,2019,3,2,16581787,7887394038
113,andhra-pradesh,2019,3,3,122270,29778183.03
114,andhra-pradesh,2019,3,4,413437,298142027.6
115,andhra-pradesh,2019,4,0,57181511,1.79E+11
116,andhra-pradesh,2019,4,1,25122370,13476303368
117,andhra-pradesh,2019,4,2,24469888,8335168606
118,andhra-pradesh,2019,4,3,105662,26796571.75
119,andhra-pradesh,2019,4,4,338672,216496893.2
120,andhra-pradesh,2020,1,0,65452143,2.23E+11
121,andhra-pradesh,2020,1,1,31408022,18603161784
122,andhra-pradesh,2020,1,2,30449644,10813530778
123,andhra-pradesh,2020,1,3,75238,43739133.17
124,andhra-pradesh,2020,1,4,292310,188228538.4
125,andhra-pradesh,2020,2,0,73609921,2.63E+11
126,andhra-pradesh,2020,2,1,41013987,16991006437
127,andhra-pradesh,2020,2,2,29976765,22625596525
128,andhra-pradesh,2020,2,3,140941,145274999.2
129,andhra-pradesh,2020,2,4,176241,90087654.6
130,andhra-pradesh,2020,3,0,106791894,4.06E+11
131,andhra-pradesh,2020,3,1,54055557,40739580214
132,andhra-pradesh,2020,3,2,43500067,19475104675
133,andhra-pradesh,2020,3,3,243088,256074924.7
134,andhra-pradesh,2020,3,4,312329,151582519.2
135,andhra-pradesh,2020,4,0,152003791,5.67E+11
136,andhra-pradesh,2020,4,1,86581460,66654048150
137,andhra-pradesh,2020,4,2,46810304,20936337212
138,andhra-pradesh,2020,4,3,265470,305168772.5
139,andhra-pradesh,2020,4,4,457527,306853355.6
140,andhra-pradesh,2021,1,0,149313738,5.81E+11
141,andhra-pradesh,2021,1,1,97920281,70813192713
142,andhra-pradesh,2021,1,2,41940689,20546424964
143,andhra-pradesh,2021,1,3,225355,270313028.5
144,andhra-pradesh,2021,1,4,347907,272546457.6
145,andhra-pradesh,2021,2,0,189614879,7.37E+11
146,andhra-pradesh,2021,2,1,112875274,88512429437
147,andhra-pradesh,2021,2,2,49626902,24646800345
148,andhra-pradesh,2021,2,3,243237,265483044.4
149,andhra-pradesh,2021,2,4,406842,308302224.4
150,andhra-pradesh,2021,3,0,221280317,8.38E+11
151,andhra-pradesh,2021,3,1,158290953,1.18E+11
152,andhra-pradesh,2021,3,2,51702350,27511344958
153,andhra-pradesh,2021,3,3,211171,297239697.8
154,andhra-pradesh,2021,3,4,547759,403948275.6
155,andhra-pradesh,2021,4,0,262006450,9.71E+11
156,andhra-pradesh,2021,4,1,207538904,1.53E+11
157,andhra-pradesh,2021,4,2,51762842,31232784714
158,andhra-pradesh,2021,4,3,243951,332740108.7
159,andhra-pradesh,2021,4,4,701856,545223415.7
160,arunachal-pradesh,2018,1,0,28729,5184132.515
161,arunachal-pradesh,2018,1,1,13320,82889682.72
162,arunachal-pradesh,2018,1,2,1042,2420374.191
163,arunachal-pradesh,2018,1,3,416,58893.76202
164,arunachal-pradesh,2018,1,4,1990,1834252.818
165,arunachal-pradesh,2018,2,0,50700,10468878.54
166,arunachal-pradesh,2018,2,1,26477,181576281.2
167,arunachal-pradesh,2018,2,2,2378,4718953.44
168,arunachal-pradesh,2018,2,3,559,363761.8016
169,arunachal-pradesh,2018,2,4,2043,1842317.369
170,arunachal-pradesh,2018,3,0,74122,15997565.91
171,arunachal-pradesh,2018,3,1,49740,308106303.5
172,arunachal-pradesh,2018,3,2,4738,5505694.568
173,arunachal-pradesh,2018,3,3,507,72133.84525
174,arunachal-pradesh,2018,3,4,2039,2044708.969
175,arunachal-pradesh,2018,4,0,97751,20662691.88
176,arunachal-pradesh,2018,4,1,68169,468831493.2
177,arunachal-pradesh,2018,4,2,7726,11998974.1
178,arunachal-pradesh,2018,4,3,561,100597.9038
179,arunachal-pradesh,2018,4,4,2222,2446271.969
180,arunachal-pradesh,2019,1,0,121303,26796895
181,arunachal-pradesh,2019,1,1,93494,568554821.4
182,arunachal-pradesh,2019,1,2,9214,11727218.4
183,arunachal-pradesh,2019,1,3,256,140622.8709
184,arunachal-pradesh,2019,1,4,2239,2730548.598
185,arunachal-pradesh,2019,2,0,131988,30420803.41
186,arunachal-pradesh,2019,2,1,106527,704237943.4
187,arunachal-pradesh,2019,2,2,16828,13955724.13
188,arunachal-pradesh,2019,2,3,267,160660.8821
189,arunachal-pradesh,2019,2,4,3046,3880742.524
190,arunachal-pradesh,2019,3,0,216228,50946104.94
191,arunachal-pradesh,2019,3,1,133484,841037395.2
192,arunachal-pradesh,2019,3,2,16900,17178248.07
193,arunachal-pradesh,2019,3,3,864,64089.1135
194,arunachal-pradesh,2019,3,4,2758,3419197.418
195,arunachal-pradesh,2019,4,0,259183,63516906.09
196,arunachal-pradesh,2019,4,1,177833,1100137448
197,arunachal-pradesh,2019,4,2,19769,23192271.69
198,arunachal-pradesh,2019,4,3,314,305379.7988
199,arunachal-pradesh,2019,4,4,2376,3421174.012
200,arunachal-pradesh,2020,1,0,329834,86011654.77
201,arunachal-pradesh,2020,1,1,203429,1263912288
202,arunachal-pradesh,2020,1,2,31181,28553052.13
203,arunachal-pradesh,2020,1,3,470,337812.9482
204,arunachal-pradesh,2020,1,4,2261,2943873.067
205,arunachal-pradesh,2020,2,0,522495,145198528.2
206,arunachal-pradesh,2020,2,1,247861,1630654426
